measure,transl,iclass,ps_a,ps_b,ps_Cb,ps_Ob,p_a,p_b,p_Cb,p_Ob,d_a,d_b,d_Cb,d_Ob
kontrollerade,controlled,authority,0.66,0.64,0.64,0.65,0.0001,0.0000,0.0001,0.0003,0.68,0.56,0.58,0.51
ledare,leader,authority,0.65,0.67,0.67,0.66,0.0001,0.0000,0.0000,0.0000,0.53,0.54,0.49,0.61
order,order,authority,0.64,0.70,0.71,0.67,0.0008,0.0000,0.0000,0.0001,0.35,0.52,0.66,0.50
kontrollera,control (v),authority,0.62,0.65,0.63,0.66,0.0036,0.0000,0.0002,0.0002,0.40,0.47,0.42,0.54
korridor,corridor,building,0.68,0.64,0.62,0.65,0.0000,0.0000,0.0007,0.0002,0.67,0.52,0.46,0.64
port,"gate, entrance",building,0.62,0.63,0.61,0.65,0.0040,0.0000,0.0012,0.0002,0.47,0.37,0.34,0.39
ett,"a, an, one",determiner,0.72,0.71,0.72,0.68,0.0000,0.0000,0.0000,0.0000,0.85,0.75,0.84,0.63
en,"a, an, one",determiner,0.69,0.70,0.75,0.63,0.0000,0.0000,0.0000,0.0018,0.73,0.77,1.00,0.51
den,"the, it",determiner,0.68,0.73,0.73,0.76,0.0000,0.0000,0.0000,0.0000,0.71,0.88,0.89,0.89
vänster,left,direction,0.70,0.72,0.75,0.67,0.0000,0.0000,0.0000,0.0001,0.71,0.69,0.70,0.66
norrut,north,direction,0.70,0.68,0.69,0.66,0.0000,0.0000,0.0000,0.0001,0.65,0.59,0.57,0.63
riktad,directed,direction,0.68,0.65,0.65,0.64,0.0000,0.0000,0.0000,0.0009,0.76,0.53,0.53,0.52
höger,right,direction,0.68,0.69,0.72,0.64,0.0000,0.0000,0.0000,0.0011,0.66,0.67,0.71,0.57
riktade,directed,direction,0.67,0.64,0.64,0.62,0.0000,0.0000,0.0001,0.0033,0.66,0.52,0.51,0.52
norra,north,direction,0.66,0.64,0.61,0.69,0.0001,0.0000,0.0024,0.0000,0.57,0.47,0.35,0.68
norr,north,direction,0.66,0.69,0.67,0.69,0.0001,0.0000,0.0000,0.0000,0.51,0.61,0.62,0.64
söderut,south,direction,0.65,0.64,0.65,0.62,0.0003,0.0000,0.0000,0.0033,0.61,0.53,0.44,0.65
riktat,directed,direction,0.64,0.64,0.64,0.62,0.0003,0.0000,0.0001,0.0016,0.57,0.53,0.45,0.60
uppåt,up,direction,0.62,0.62,0.61,0.64,0.0033,0.0000,0.0020,0.0008,0.41,0.44,0.35,0.58
väst,west,direction,0.61,0.63,0.64,0.62,0.0071,0.0000,0.0000,0.0046,0.19,0.28,0.38,0.22
tycktes,seemed,downtoner,0.61,0.62,0.60,0.63,0.0077,0.0000,0.0035,0.0021,0.56,0.61,0.50,0.77
mannen,the man,gendered (M),0.63,0.65,0.62,0.67,0.0016,0.0000,0.0010,0.0001,0.46,0.57,0.43,0.77
denne,this (masc),gendered (M),0.63,0.71,0.73,0.69,0.0010,0.0000,0.0000,0.0000,0.53,0.76,0.86,0.73
länder,countries,geography,0.62,0.64,0.62,0.66,0.0035,0.0000,0.0003,0.0001,0.45,0.45,0.39,0.56
meter,meter,geometry,0.72,0.78,0.80,0.78,0.0000,0.0000,0.0000,0.0000,0.82,1.05,1.12,0.94
platser,places,geometry,0.66,0.64,0.66,0.61,0.0002,0.0000,0.0000,0.0080,0.39,0.36,0.46,0.28
höjd,height,geometry,0.65,0.68,0.67,0.70,0.0004,0.0000,0.0000,0.0000,0.44,0.58,0.52,0.67
mitten,middle,geometry,0.64,0.64,0.63,0.66,0.0012,0.0000,0.0002,0.0002,0.48,0.52,0.52,0.54
långt,"far, long",geometry,0.63,0.65,0.62,0.69,0.0026,0.0000,0.0006,0.0000,0.38,0.50,0.42,0.59
linjen,the line,geometry,0.60,0.62,0.61,0.62,0.0094,0.0000,0.0011,0.0034,0.24,0.29,0.17,0.51
närmast,closest,geometry (degree),0.66,0.69,0.66,0.72,0.0001,0.0000,0.0000,0.0000,0.64,0.76,0.63,0.93
större,larger,geometry (degree),0.63,0.63,0.63,0.62,0.0024,0.0000,0.0003,0.0045,0.43,0.43,0.38,0.48
mindre,smaller,geometry (degree),0.62,0.69,0.72,0.65,0.0056,0.0000,0.0000,0.0008,0.43,0.72,0.74,0.67
namn,naming,name,0.66,0.70,0.71,0.68,0.0002,0.0000,0.0000,0.0000,0.52,0.68,0.68,0.65
hundra,hundred,numeral,0.70,0.76,0.79,0.70,0.0000,0.0000,0.0000,0.0000,0.85,0.98,1.04,0.86
tredje,third,numeral,0.70,0.76,0.76,0.74,0.0000,0.0000,0.0000,0.0000,0.76,0.94,0.96,0.90
två,two,numeral,0.69,0.76,0.80,0.70,0.0000,0.0000,0.0000,0.0000,0.64,0.95,1.10,0.70
tre,three,numeral,0.68,0.74,0.74,0.73,0.0000,0.0000,0.0000,0.0000,0.67,0.89,0.86,0.90
antal,quantity,numeral,0.65,0.66,0.61,0.73,0.0003,0.0000,0.0025,0.0000,0.62,0.65,0.51,0.88
hundratals,hundreds,numeral,0.63,0.64,0.65,0.61,0.0017,0.0000,0.0000,0.0086,0.38,0.45,0.53,0.42
fyra,four,numeral,0.63,0.69,0.73,0.62,0.0021,0.0000,0.0000,0.0047,0.43,0.65,0.73,0.47
tio,ten,numeral,0.63,0.69,0.72,0.63,0.0024,0.0000,0.0000,0.0020,0.39,0.66,0.70,0.57
första,first,numeral,0.62,0.67,0.66,0.70,0.0033,0.0000,0.0000,0.0000,0.49,0.67,0.64,0.77
3,3,numeral,0.62,0.67,0.69,0.64,0.0042,0.0000,0.0000,0.0010,0.29,0.45,0.49,0.43
andra,other/second,numeral,0.61,0.70,0.73,0.65,0.0092,0.0000,0.0000,0.0003,0.34,0.69,0.78,0.58
antalet,the number,numeral,0.60,0.65,0.66,0.62,0.0069,0.0000,0.0000,0.0026,0.41,0.54,0.58,0.46
från,from,preposition,0.72,0.76,0.70,0.83,0.0000,0.0000,0.0000,0.0000,0.81,0.96,0.78,1.23
av,of,preposition,0.63,0.68,0.64,0.72,0.0017,0.0000,0.0001,0.0000,0.46,0.61,0.53,0.73
minuter,minutes,time,0.64,0.67,0.72,0.62,0.0012,0.0000,0.0000,0.0069,0.55,0.66,0.79,0.43
timme,hour,time,0.62,0.63,0.63,0.62,0.0064,0.0000,0.0003,0.0050,0.42,0.49,0.53,0.38
senare,later,time,0.61,0.66,0.67,0.63,0.0091,0.0000,0.0000,0.0031,0.45,0.60,0.68,0.46
vapen,weapon,violence,0.68,0.73,0.71,0.74,0.0000,0.0000,0.0000,0.0000,0.64,0.74,0.70,0.82
vapnet,the weapon,violence,0.67,0.67,0.65,0.67,0.0000,0.0000,0.0000,0.0000,0.50,0.51,0.45,0.66
pistol,gun,violence,0.67,0.70,0.74,0.62,0.0000,0.0000,0.0000,0.0016,0.53,0.67,0.73,0.53
skjuta,shoot,violence,0.67,0.69,0.70,0.66,0.0001,0.0000,0.0000,0.0003,0.63,0.67,0.71,0.58
gripa,arrest,violence,0.67,0.64,0.64,0.63,0.0000,0.0000,0.0001,0.0007,0.60,0.49,0.50,0.47
pistolen,the gun,violence,0.65,0.67,0.69,0.62,0.0001,0.0000,0.0000,0.0004,0.45,0.63,0.62,0.63
döden,the death,violence,0.65,0.65,0.60,0.70,0.0005,0.0000,0.0037,0.0000,0.40,0.42,0.33,0.55
skott,shot,violence,0.64,0.71,0.74,0.65,0.0010,0.0000,0.0000,0.0004,0.48,0.63,0.64,0.60
krig,war,violence,0.63,0.69,0.69,0.70,0.0014,0.0000,0.0000,0.0000,0.42,0.62,0.59,0.79
fiender,enemies,violence,0.62,0.65,0.61,0.70,0.0024,0.0000,0.0017,0.0000,0.49,0.49,0.37,0.63
polis,police(man),violence,0.62,0.61,0.60,0.66,0.0038,0.0001,0.0033,0.0001,0.48,0.42,0.42,0.52
poliser,policemen,violence,0.61,0.64,0.63,0.67,0.0073,0.0000,0.0003,0.0000,0.40,0.49,0.48,0.69
slaget,the blow,violence,0.61,0.67,0.64,0.71,0.0080,0.0000,0.0001,0.0000,0.52,0.66,0.53,0.84
fört,led,x,0.69,0.64,0.61,0.67,0.0000,0.0000,0.0021,0.0001,0.55,0.44,0.29,0.62
rök,smoke,x,0.68,0.66,0.63,0.72,0.0000,0.0000,0.0003,0.0000,0.63,0.57,0.46,0.78
fordon,vehicle,x,0.65,0.66,0.67,0.64,0.0001,0.0000,0.0000,0.0003,0.50,0.55,0.55,0.54
knapp,button,x,0.64,0.62,0.60,0.64,0.0007,0.0000,0.0038,0.0010,0.52,0.43,0.38,0.56
metall,metal,x,0.64,0.67,0.69,0.63,0.0006,0.0000,0.0000,0.0017,0.49,0.60,0.70,0.44
jakten,the hunt,x,0.63,0.67,0.66,0.67,0.0007,0.0000,0.0000,0.0000,0.49,0.51,0.47,0.59
flykt,escape,x,0.63,0.67,0.64,0.70,0.0020,0.0000,0.0000,0.0000,0.41,0.43,0.36,0.58
motsatta,opposite,x,0.63,0.63,0.63,0.63,0.0012,0.0000,0.0002,0.0016,0.41,0.38,0.32,0.48
slutet,the end,x,0.61,0.61,0.61,0.65,0.0068,0.0000,0.0016,0.0006,0.53,0.47,0.42,0.61
besöka,visit,x,0.61,0.63,0.61,0.66,0.0079,0.0000,0.0022,0.0002,0.32,0.41,0.34,0.53
